,name,basetime,fctime,diag,obs,mb000
FF300_MAX_S4-VDG-2021121000-1-2021121100-066,VDG-2021121000-1,2021121100,66,ff300_max_s4,19.60662985696555,3.6475535800182683
Z500_P-VDG-2021121000-1-2021121100-066,VDG-2021121000-1,2021121100,66,z500_p,48516.676092018904,-245.36607800869388
TTE-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,tte,0.0,160.11645314243754
MSLP_MIN_P-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,mslp_min_p,96859.6035124035,30.241206364444224
FF10M_MAX_S4-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,ff10m_max_s4,20.329295673969906,-4.363890738463239
FF925_MAX_S4-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,ff925_max_s4,25.46211727055368,-5.978763521696994
FF300_MAX_S4-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,ff300_max_s4,17.401193760291427,0.2890720900242627
Z500_P-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,z500_p,48724.5539523238,-497.4130030524684
TTE-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,tte,0.0,135.46533557255214
MSLP_MIN_P-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,mslp_min_p,96838.53933714287,87.32355419655505
FF10M_MAX_S4-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,ff10m_max_s4,20.640998082771954,-2.594667415005638
FF925_MAX_S4-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,ff925_max_s4,26.405038613006727,-4.607496138884343
FF300_MAX_S4-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,ff300_max_s4,18.733050440568224,1.8252938140596626
Z500_P-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,z500_p,48905.155762568844,-562.449611781849
TTE-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,tte,0.0,73.06272364184953
MSLP_MIN_P-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,mslp_min_p,97020.6343201393,-75.65684234301443
FF10M_MAX_S4-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,ff10m_max_s4,18.51718839041359,-1.3912284257119936
FF925_MAX_S4-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,ff925_max_s4,23.374767370400686,-2.7737065609182245
