,name,basetime,fctime,diag,obs,mb000
FF300_MAX_S4-VDG-2021121000-1-2021121100-066,VDG-2021121000-1,2021121100,66,ff300_max_s4,19.60662985696555,3.4567516466080086
Z500_P-VDG-2021121000-1-2021121100-066,VDG-2021121000-1,2021121100,66,z500_p,48516.676092018904,-165.8252906912021
TTE-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,tte,0.0,119.03130781225607
MSLP_MIN_P-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,mslp_min_p,96859.6035124035,-36.15551240349305
FF10M_MAX_S4-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,ff10m_max_s4,20.329295673969906,-3.672865706793907
FF925_MAX_S4-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,ff925_max_s4,25.46211727055368,-5.625319996303183
FF300_MAX_S4-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,ff300_max_s4,17.401193760291427,1.368382278342807
Z500_P-VDG-2021121000-1-2021121100-072,VDG-2021121000-1,2021121100,72,z500_p,48724.5539523238,-433.5825052878281
TTE-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,tte,0.0,127.70638837807489
MSLP_MIN_P-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,mslp_min_p,96838.53933714287,-74.47076571428624
FF10M_MAX_S4-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,ff10m_max_s4,20.640998082771954,-3.1591572716714644
FF925_MAX_S4-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,ff925_max_s4,26.405038613006727,-4.276523148454874
FF300_MAX_S4-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,ff300_max_s4,18.733050440568224,0.1902047448881028
Z500_P-VDG-2021121000-1-2021121100-078,VDG-2021121000-1,2021121100,78,z500_p,48905.155762568844,-591.7028074234186
TTE-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,tte,0.0,20.888720349343316
MSLP_MIN_P-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,mslp_min_p,97020.6343201393,-191.95393775365665
FF10M_MAX_S4-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,ff10m_max_s4,18.51718839041359,-0.8555589133308352
FF925_MAX_S4-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,ff925_max_s4,23.374767370400686,-4.459587664727543
FF300_MAX_S4-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,ff300_max_s4,20.460646587979898,-1.2894944265224275
Z500_P-VDG-2021121000-1-2021121100-084,VDG-2021121000-1,2021121100,84,z500_p,49090.79485833026,-615.6413220118484
TTE-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,tte,0.0,33.339038320886125
MSLP_MIN_P-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,mslp_min_p,97118.37829666608,-190.39750351312978
FF10M_MAX_S4-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,ff10m_max_s4,17.08903661321997,0.7634122477922141
FF925_MAX_S4-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,ff925_max_s4,21.466894204843538,0.3727453200517523
FF300_MAX_S4-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,ff300_max_s4,25.845333593723026,-5.282613907089072
Z500_P-VDG-2021121000-1-2021121100-090,VDG-2021121000-1,2021121100,90,z500_p,49426.3719677836,-813.2083297122954
TTE-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,tte,0.0,56.634817888855466
MSLP_MIN_P-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,mslp_min_p,97155.93682655154,-145.96343886651448
FF10M_MAX_S4-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,ff10m_max_s4,16.82528077889908,0.7508586005175175
FF925_MAX_S4-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,ff925_max_s4,21.078119837392787,0.5832591767560338
FF300_MAX_S4-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,ff300_max_s4,29.350741000000244,-4.525142682465749
Z500_P-VDG-2021121000-1-2021121100-096,VDG-2021121000-1,2021121100,96,z500_p,49786.46542443516,-970.0713116278494
TTE-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,tte,0.0,28.77669589806601
MSLP_MIN_P-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,mslp_min_p,97862.89203630628,-73.60593816133041
FF10M_MAX_S4-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,ff10m_max_s4,14.498210003458802,0.3053033989489684
FF925_MAX_S4-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,ff925_max_s4,17.676653400132782,0.16824369866917976
FF300_MAX_S4-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,ff300_max_s4,16.642402063072957,-0.06841186284215794
Z500_P-VDG-2021121000-1-2021121200-006,VDG-2021121000-1,2021121200,6,z500_p,49110.93245779499,-471.0231911525916
TTE-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,tte,0.0,26.452549697171094
MSLP_MIN_P-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,mslp_min_p,97788.93842830407,-46.58280495344661
FF10M_MAX_S4-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,ff10m_max_s4,19.175634963899526,-0.011638970861348241
FF925_MAX_S4-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,ff925_max_s4,23.991735020915918,-0.5679259747834458
FF300_MAX_S4-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,ff300_max_s4,14.661235592689863,1.8613925588546003
Z500_P-VDG-2021121000-1-2021121200-012,VDG-2021121000-1,2021121200,12,z500_p,49079.33407887243,-503.3197000759974
